Accession,ID_x,Organism Name,planetary_analog,Environment,Geographic location,latitude,longitude,Assembly level,Sequencing platform,CheckM2 completeness(%)(NN_model),CheckM2 contamination(%),pass.GUNC,Number_of_contigs,Size (bp),GC (%),N50,GTDB_r220_classification
GCA_015231885.1,GCA_015231885.1_SAR324_cluster_bacterium_nPCRbin10,SAR324_cluster_bacterium_nPCRbin10,Mars_lake_analog,brackish,Australia: Punkally Creek,-36.23413,150.06798,Scaffold,Illumina HiSeq,95.55,0.8,True,241,5133600,42.0,50150,d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__GCA-2753255;g__GCA-2753255;s__GCA-2753255 sp002753255
GCA_015231915.1,GCA_015231915.1_Magnetococcales_bacterium_nNGHbin2,Magnetococcales_bacterium_nNGHbin2,Mars_lake_analog,freshwater,China: Innermogolia,47.9275,119.54638,Scaffold,Illumina HiSeq,99.87,1.5,True,133,4022416,61.98,48446,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__WMHbin3;s__WMHbin3 sp015231915
GCA_015231925.1,GCA_015231925.1_Magnetococcales_bacterium_nNGHbin14,Magnetococcales_bacterium_nNGHbin14,Mars_lake_analog,freshwater,China: Innermogolia,47.9275,119.54638,Scaffold,Illumina HiSeq,92.01,1.97,True,358,4514666,60.22,20051,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__JADGAQ01;g__JADGAQ01;s__JADGAQ01 sp015231925
GCA_015231955.1,GCA_015231955.1_Oligoflexia_bacterium_nN3bin31,Oligoflexia_bacterium_nN3bin31,Mars_lake_analog,freshwater,China: Innermogolia,41.549487,109.05952,Scaffold,Illumina HiSeq,100.0,3.14,True,114,5611739,40.9,99534,d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__JADGAN01;s__JADGAN01 sp015231955
GCA_015231965.1,GCA_015231965.1_Magnetococcales_bacterium_nNGHbin13,Magnetococcales_bacterium_nNGHbin13,Mars_lake_analog,freshwater,China: Innermogolia,47.9275,119.54638,Scaffold,Illumina HiSeq,99.05,0.94,True,314,3824539,63.09,18740,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__JADGAP01;g__JADGAP01;s__JADGAP01 sp015231965
GCA_015231995.1,GCA_015231995.1_Nitrospinae_bacterium_nNGHbin12,Nitrospinota_bacterium_nNGHbin12,Mars_lake_analog,freshwater,China: Innermogolia,47.9275,119.54638,Scaffold,Illumina HiSeq,92.91,0.57,True,358,3233461,54.84,12205,d__Bacteria;p__Nitrospinota;c__UBA7883;o__UBA7883;f__JACRLM01;g__JADGAO01;s__JADGAO01 sp015231995
GCA_015232015.1,GCA_015232015.1_Oligoflexia_bacterium_nN3bin16,Oligoflexia_bacterium_nN3bin16,Mars_lake_analog,freshwater,China: Innermogolia,41.549487,109.05952,Scaffold,Illumina HiSeq,95.32,2.64,True,413,4908165,31.52,18191,d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__JADFZW01;s__JADFZW01 sp015232015
GCA_015232025.1,GCA_015232025.1_Alphaproteobacteria_bacterium_nN3bin14,Alphaproteobacteria_bacterium_nN3bin14,Mars_lake_analog,freshwater,China: Innermogolia,41.549487,109.05952,Scaffold,Illumina HiSeq,74.29,2.45,True,499,3735703,67.66,9763,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__JADFZP01;s__JADFZP01 sp015232025
GCA_015232035.1,GCA_015232035.1_Desulfamplus_sp._nN2-2bin5,Desulfamplus_sp._nN2-2bin5,Mars_lake_analog,freshwater,China: Innermogolia,41.549487,109.05952,Scaffold,Illumina HiSeq,74.38,2.48,True,215,3179296,37.93,18110,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;s__Desulfamplus sp015232555
GCA_015232055.1,GCA_015232055.1_Alphaproteobacteria_bacterium_nN2-2bin2,Alphaproteobacteria_bacterium_nN2-2bin2,Mars_lake_analog,freshwater,China: Innermogolia,41.549487,109.05952,Scaffold,Illumina HiSeq,82.81,3.64,True,602,4101610,67.51,8398,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__JADFZP01;s__JADFZP01 sp015232485
GCA_015232095.1,GCA_015232095.1_Alphaproteobacteria_bacterium_nN2-2bin1,Alphaproteobacteria_bacterium_nN2-2bin1,Mars_lake_analog,freshwater,China: Innermogolia,41.549487,109.05952,Scaffold,Illumina HiSeq,100.0,0.71,True,129,4326798,65.17,58814,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Magnetospirillum;s__Magnetospirillum moscoviense
GCA_015232115.1,GCA_015232115.1_Nitrospirota_bacterium_nMYbin6,Nitrospirota_bacterium_nMYbin6,Mars_lake_analog,freshwater,"China: Beijing, Lake Miyun",40.48874,117.00714,Scaffold,Illumina HiSeq,87.13,7.4,True,171,3404042,47.77,27655,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__Magnetominusculus;s__Magnetominusculus sp002753305
GCA_015232145.1,GCA_015232145.1_Nitrospirota_bacterium_nMYbin4,Nitrospirota_bacterium_nMYbin4,Mars_lake_analog,freshwater,"China: Beijing, Lake Miyun",40.48874,117.00714,Scaffold,Illumina HiSeq,97.28,1.61,True,213,3929094,44.04,34309,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__Magnetobacterium;s__Magnetobacterium sp002753395
GCA_015232195.1,GCA_015232195.1_Nitrospirota_bacterium_nMYbin1,Nitrospirota_bacterium_nMYbin1,Mars_lake_analog,freshwater,"China: Beijing, Lake Miyun",40.48874,117.00714,Scaffold,Illumina HiSeq,100.0,0.0,True,48,2908520,44.36,104491,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__MYbin3;s__MYbin3 sp002753335
GCA_015232235.1,GCA_015232235.1_Candidatus_Omnitrophica_bacterium_nMBPbin3,Candidatus_Omnitrophota_bacterium_nMBPbin3,Mars_lake_analog,freshwater,Australia: Mount Beauty Pondage,-36.73874,147.16443,Scaffold,Illumina HiSeq,73.85,0.3,True,41,1969424,50.38,106662,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__Fredricksoniimonadaceae;g__Fredricksoniimonas;s__Fredricksoniimonas sp002753465
GCA_015232245.1,GCA_015232245.1_Magnetococcales_bacterium_nMBPbin6,Magnetococcales_bacterium_nMBPbin6,Mars_lake_analog,freshwater,Australia: Mount Beauty Pondage,-36.73874,147.16443,Scaffold,Illumina HiSeq,81.57,1.27,True,481,3695133,59.23,10704,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__JAANAU01;s__JAANAU01 sp015232245
GCA_015232255.1,GCA_015232255.1_Oligoflexia_bacterium_nKLKbin5,Oligoflexia_bacterium_nKLKbin5,Mars_lake_analog,brackish,"China: Qinghai, Keluke Lake",37.283722,96.859816,Scaffold,Illumina HiSeq,89.99,1.98,True,212,4586144,41.45,36596,d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__JADGAN01;s__JADGAN01 sp015231955
GCA_015232265.1,GCA_015232265.1_Magnetococcales_bacterium_nKLKbin4,Magnetococcales_bacterium_nKLKbin4,Mars_lake_analog,brackish,"China: Qinghai, Keluke Lake",37.283722,96.859816,Scaffold,Illumina HiSeq,86.29,2.98,True,225,4028132,54.24,26216,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp002753735
GCA_015232315.1,GCA_015232315.1_SAR324_cluster_bacterium_nKLKbin6,SAR324_cluster_bacterium_nKLKbin6,Mars_lake_analog,brackish,"China: Qinghai, Keluke Lake",37.283722,96.859816,Scaffold,Illumina HiSeq,95.27,1.24,True,88,5251075,45.21,107714,d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__JADFZZ01;g__JADFZZ01;s__JADFZZ01 sp015232315
GCA_015232335.1,GCA_015232335.1_Alphaproteobacteria_bacterium_nKLKbin1,Alphaproteobacteria_bacterium_nKLKbin1,Mars_lake_analog,brackish,"China: Qinghai, Keluke Lake",37.283722,96.859816,Scaffold,Illumina HiSeq,99.94,0.31,True,89,3428751,59.34,60596,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__WMHbin7;g__WMHbin7;s__WMHbin7 sp015232335
GCA_015232355.1,GCA_015232355.1_Oligoflexia_bacterium_nKLKbin12,Oligoflexia_bacterium_nKLKbin12,Mars_lake_analog,brackish,"China: Qinghai, Keluke Lake",37.283722,96.859816,Scaffold,Illumina HiSeq,100.0,3.2,True,96,5633167,32.16,134958,d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__JADFZW01;s__JADFZW01 sp015232355
GCA_015232365.1,GCA_015232365.1_Magnetococcales_bacterium_nJSWbin3,Magnetococcales_bacterium_nJSWbin3,Mars_lake_analog,brackish,"China: Jinshawan, Yingkou",40.223972,122.083844,Scaffold,Illumina HiSeq,83.03,0.81,True,103,2838496,44.6,45395,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__GCA-2753565;s__GCA-2753565 sp015232365
GCA_015232395.1,GCA_015232395.1_Magnetococcales_bacterium_nJSWbin2,Magnetococcales_bacterium_nJSWbin2,Mars_lake_analog,brackish,"China: Jinshawan, Yingkou",40.223972,122.083844,Scaffold,Illumina HiSeq,99.98,1.21,True,170,4942843,55.33,50362,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__JADFZT01;g__JADFZT01;s__JADFZT01 sp015232395
GCA_015232405.1,GCA_015232405.1_Magnetococcales_bacterium_nJSWbin1,Magnetococcales_bacterium_nJSWbin1,Mars_lake_analog,brackish,"China: Jinshawan, Yingkou",40.223972,122.083844,Scaffold,Illumina HiSeq,85.95,2.69,True,335,5862517,42.2,33993,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__GCA-2753565;s__GCA-2753565 sp015232405
GCA_015232435.1,GCA_015232435.1_Alphaproteobacteria_bacterium_nJC2bin54,Alphaproteobacteria_bacterium_nJC2bin54,Mars_lake_analog,freshwater,China: Innermogolia,41.686682,108.39418,Scaffold,Illumina HiSeq,85.56,1.25,True,694,3885447,67.6,6643,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__JADFZP01;s__JADFZP01 sp015232485
GCA_015232455.1,GCA_015232455.1_Desulfamplus_sp._nJC1bin9,Desulfamplus_sp._nJC1bin9,Mars_lake_analog,freshwater,China: Innermogolia,41.687541,108.393862,Scaffold,Illumina HiSeq,99.62,0.74,True,82,4348730,35.99,138975,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;s__Desulfamplus sp015232455
GCA_015232465.1,GCA_015232465.1_Desulfamplus_sp._nHLHbin7,Desulfamplus_sp._nHLHbin7,Mars_lake_analog,freshwater,China: Innermogolia,49.06944,117.75694,Scaffold,Illumina HiSeq,85.09,0.53,True,147,3017047,37.75,34217,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;s__Desulfamplus sp015232465
GCA_015232485.1,GCA_015232485.1_Alphaproteobacteria_bacterium_nJC1bin3,Alphaproteobacteria_bacterium_nJC1bin3,Mars_lake_analog,freshwater,China: Innermogolia,41.687541,108.393862,Scaffold,Illumina HiSeq,84.65,0.44,True,698,3955622,67.27,6954,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__JADFZP01;s__JADFZP01 sp015232485
GCA_015232515.1,GCA_015232515.1_Desulfobacterales_bacterium_nHLHbin5,Desulfobacterales_bacterium_nHLHbin5,Mars_lake_analog,freshwater,China: Innermogolia,49.06944,117.75694,Scaffold,Illumina HiSeq,80.32,1.3,True,421,4582957,32.52,15842,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__YD0425bin51;g__YD0425bin51;s__YD0425bin51 sp002753225
GCA_015232535.1,GCA_015232535.1_Candidatus_Omnitrophica_bacterium_nHLHbin2,Candidatus_Omnitrophota_bacterium_nHLHbin2,Mars_lake_analog,freshwater,China: Innermogolia,49.06944,117.75694,Scaffold,Illumina HiSeq,83.04,0.47,True,210,2207473,42.78,15244,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__Zapsychraceae;g__JADFZM01;s__JADFZM01 sp015232535
GCA_015232555.1,GCA_015232555.1_Desulfamplus_sp._nHGRbin17,Desulfamplus_sp._nHGRbin17,Mars_lake_analog,freshwater,China: Innermogolia,41.573047,108.313566,Scaffold,Illumina HiSeq,89.58,0.63,True,106,3818984,37.82,58122,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;s__Desulfamplus sp015232555
GCA_015232565.1,GCA_015232565.1_Candidatus_Omnitrophica_bacterium_nHGRbin18,Candidatus_Omnitrophota_bacterium_nHGRbin18,Mars_lake_analog,freshwater,China: Innermogolia,41.573047,108.313566,Scaffold,Illumina HiSeq,96.03,0.19,True,80,2643610,51.11,53313,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__Fredricksoniimonadaceae;g__GCA-2753745;s__GCA-2753745 sp015232565
GCA_015232575.1,GCA_015232575.1_Candidatus_Riflebacteria_bacterium_nHGRbin4,Candidatus_Riflebacteria_bacterium_nHGRbin4,Mars_lake_analog,freshwater,China: Innermogolia,41.573047,108.313566,Scaffold,Illumina HiSeq,99.93,5.07,True,54,7047312,40.28,283247,d__Bacteria;p__Riflebacteria;c__Ozemobacteria;o__Ozemobacterales;f__Ozemobacteraceae;g__JADFXM01;s__JADFXM01 sp015232575
GCA_015232615.1,GCA_015232615.1_Nitrospirota_bacterium_nHCHbin2,Nitrospirota_bacterium_nHCHbin2,Mars_lake_analog,freshwater,China: Xian city moat,34.25287,108.92187,Scaffold,Illumina HiSeq,100.0,0.57,True,99,3701936,45.24,57400,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__Magnetominusculus;s__Magnetominusculus xianensis
GCA_015232635.1,GCA_015232635.1_Magnetococcales_bacterium_nHCHbin1,Magnetococcales_bacterium_nHCHbin1,Mars_lake_analog,freshwater,China: Xian city moat,34.25287,108.92187,Scaffold,Illumina HiSeq,88.99,0.96,True,295,3805225,56.77,22140,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__HCHbin5;s__HCHbin5 sp002753505
GCA_015232645.1,GCA_015232645.1_Magnetococcales_bacterium_nHA5abin3,Magnetococcales_bacterium_nHA5abin3,Mars_lake_analog,freshwater,China: Hongan,31.290556,114.913333,Scaffold,Illumina HiSeq,71.52,0.76,True,426,3385412,54.67,12490,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp015232645
GCA_015232675.1,GCA_015232675.1_Magnetococcales_bacterium_nHAa3bin1,Magnetococcales_bacterium_nHAa3bin1,Mars_lake_analog,freshwater,China: Hongan,31.174289,114.543941,Scaffold,Illumina HiSeq,76.7,0.68,True,97,3004780,53.21,84180,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp002753515
GCA_015232685.1,GCA_015232685.1_Magnetococcales_bacterium_nHA5abin2,Magnetococcales_bacterium_nHA5abin2,Mars_lake_analog,freshwater,China: Hongan,31.290556,114.913333,Scaffold,Illumina HiSeq,78.82,0.75,True,229,3237156,52.36,25023,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp015228975
GCA_015232755.1,GCA_015232755.1_Magnetococcales_bacterium_nHA3dbin2,Magnetococcales_bacterium_nHA3dbin2,Mars_lake_analog,freshwater,China: Hongan,31.173819,114.547642,Scaffold,Illumina HiSeq,88.41,3.96,True,358,3545338,61.56,17432,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__DC0425bin3;g__HA3dbin3;s__HA3dbin3 sp002753495
GCA_015232815.1,GCA_015232815.1_Magnetococcales_bacterium_nHA3dbin1,Magnetococcales_bacterium_nHA3dbin1,Mars_lake_analog,freshwater,China: Hongan,31.173819,114.547642,Scaffold,Illumina HiSeq,100.0,1.12,True,203,4465439,52.89,43128,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp002753515
GCA_015232825.1,GCA_015232825.1_Magnetococcales_bacterium_nHA1bin2,Magnetococcales_bacterium_nHA1bin2,Mars_lake_analog,freshwater,China: Hongan,31.295,114.916944,Scaffold,Illumina HiSeq,73.03,0.9,True,270,3028638,50.29,17143,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__JAANAU01;s__JAANAU01 sp015232825
GCA_015232855.1,GCA_015232855.1_Fibrobacteria_bacterium_nGRbin1,Fibrobacteria_bacterium_nGRbin1,Mars_lake_analog,brackish,Australia: Gellibrand River,-38.69715,143.15477,Scaffold,Illumina HiSeq,84.46,1.76,True,350,5376203,40.73,27450,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__UBA11236;f__JADFYW01;g__JADFYW01;s__JADFYW01 sp015232855
GCA_015232875.1,GCA_015232875.1_Candidatus_Magnetomorum_sp._nER2bin1,Candidatus_Magnetomorum_sp._nER2bin1,Mars_lake_analog,brackish,Australia: Erskine River,-38.5359,143.97478,Scaffold,Illumina HiSeq,96.13,1.03,True,393,6162735,38.94,22709,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Magnetomoraceae;g__Magnetomorum;s__Magnetomorum sp002753725
GCA_015232915.1,GCA_015232915.1_Magnetococcales_bacterium_nER1bin1,Magnetococcales_bacterium_nER1bin1,Mars_lake_analog,brackish,Australia: Erskine River,-38.5338,143.97832,Scaffold,Illumina HiSeq,99.51,1.29,True,47,3664887,52.32,113822,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__GCA-2753565;s__GCA-2753565 sp002753565
GCA_015232955.1,GCA_015232955.1_Gammaproteobacteria_bacterium_nER1bin10,Gammaproteobacteria_bacterium_nER1bin10,Mars_lake_analog,brackish,Australia: Erskine River,-38.5338,143.97832,Contig,Illumina HiSeq,76.52,0.53,True,485,2595233,54.7,6203,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__BW-2;f__BW-2;g__JADFYS01;s__JADFYS01 sp015232955
GCA_015232995.1,GCA_015232995.1_Nitrospirota_bacterium_nDJH8bin8,Nitrospirota_bacterium_nDJH8bin8,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.48944,109.99638,Scaffold,Illumina HiSeq,99.98,1.3,True,111,4187783,41.49,60346,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__JADFXG01;s__JADFXG01 sp015233895
GCA_015233015.1,GCA_015233015.1_Nitrospirota_bacterium_nDJH8bin6,Nitrospirota_bacterium_nDJH8bin6,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.48944,109.99638,Scaffold,Illumina HiSeq,99.97,0.34,True,149,3781477,46.6,45032,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__Magnetominusculus;s__Magnetominusculus sp015233015
GCA_015233035.1,GCA_015233035.1_Magnetococcales_bacterium_nDJH8bin2,Magnetococcales_bacterium_nDJH8bin2,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.48944,109.99638,Scaffold,Illumina HiSeq,96.5,2.61,True,434,4525783,57.45,14666,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__HCHbin5;s__HCHbin5 sp015233035
GCA_015233055.1,GCA_015233055.1_Deltaproteobacteria_bacterium_nDJH8bin5,Deltaproteobacteria_bacterium_nDJH8bin5,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.48944,109.99638,Scaffold,Illumina HiSeq,75.87,3.09,True,527,4054746,51.56,10433,d__Bacteria;p__Desulfobacterota;c__JADFXK01;o__JADFXK01;f__JADFXK01;g__JADFXK01;s__JADFXK01 sp015233055
GCA_015233065.1,GCA_015233065.1_Desulfovibrionaceae_bacterium_nDJH8bin10,Desulfovibrionaceae_bacterium_nDJH8bin10,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.48944,109.99638,Scaffold,Illumina HiSeq,93.67,0.07,True,255,3285386,62.71,21540,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__JADFXV01;s__JADFXV01 sp015233395
GCA_015233115.1,GCA_015233115.1_Candidatus_Omnitrophica_bacterium_nDJH6bin5,Candidatus_Omnitrophota_bacterium_nDJH6bin5,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.49055,109.99611,Scaffold,Illumina HiSeq,90.95,0.26,True,37,2393593,40.68,108715,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__Zapsychraceae;g__JADFYE01;s__JADFYE01 sp015233115
GCA_015233135.1,GCA_015233135.1_Deltaproteobacteria_bacterium_nDJH6bin20,Deltaproteobacteria_bacterium_nDJH6bin20,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.49055,109.99611,Scaffold,Illumina HiSeq,100.0,0.08,True,64,2614640,45.14,63680,d__Bacteria;p__UBA10199;c__UBA10199;o__DSSB01;f__JADFYH01;g__JADFYH01;s__JADFYH01 sp015233135
GCA_015233155.1,GCA_015233155.1_Candidatus_Riflebacteria_bacterium_nDJH6bin19,Candidatus_Riflebacteria_bacterium_nDJH6bin19,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.49055,109.99611,Scaffold,Illumina HiSeq,86.87,2.56,True,185,6314079,49.32,78585,d__Bacteria;p__Riflebacteria;c__Ozemobacteria;o__Ozemobacterales;f__Ozemobacteraceae;g__JADFYG01;s__JADFYG01 sp015233155
GCA_015233165.1,GCA_015233165.1_Candidatus_Omnitrophica_bacterium_nDJH6bin18,Candidatus_Omnitrophota_bacterium_nDJH6bin18,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.49055,109.99611,Scaffold,Illumina HiSeq,84.09,3.87,True,187,2287963,41.64,23939,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__Fredricksoniimonadaceae;g__JACQCF01;s__JACQCF01 sp015233165
GCA_015233195.1,GCA_015233195.1_Candidatus_Omnitrophica_bacterium_nDJH6bin14,Candidatus_Omnitrophota_bacterium_nDJH6bin14,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.49055,109.99611,Scaffold,Illumina HiSeq,83.76,0.42,True,50,1979993,37.49,86148,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__Zapsychraceae;g__JADFYE01;s__JADFYE01 sp015233195
GCA_015233235.1,GCA_015233235.1_Candidatus_Omnitrophica_bacterium_nDJH6bin13,Candidatus_Omnitrophota_bacterium_nDJH6bin13,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.49055,109.99611,Scaffold,Illumina HiSeq,75.83,0.18,True,175,1591307,47.17,11632,d__Bacteria;p__Omnitrophota;c__Koll11;o__Tantalellales;f__Tantalellaceae;g__JADFYD01;s__JADFYD01 sp015233235
GCA_015233245.1,GCA_015233245.1_Nitrospirota_bacterium_nDJH6bin1,Nitrospirota_bacterium_nDJH6bin1,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.49055,109.99611,Scaffold,Illumina HiSeq,93.13,1.43,True,318,3469571,41.13,17243,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__JADFXG01;s__JADFXG01 sp015233245
GCA_015233265.1,GCA_015233265.1_Nitrospirota_bacterium_nDJH5bin4,Nitrospirota_bacterium_nDJH5bin4,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.490422,109.995886,Scaffold,Illumina HiSeq,70.48,1.19,True,344,2541747,47.41,11135,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__Magnetominusculus;s__Magnetominusculus sp015233265
GCA_015233335.1,GCA_015233335.1_Candidatus_Omnitrophica_bacterium_nDJH2bin18,Candidatus_Omnitrophota_bacterium_nDJH2bin18,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.49194,109.99472,Scaffold,Illumina HiSeq,73.16,2.59,True,38,1845990,44.09,102146,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__Fredricksoniimonadaceae;g__JABDGZ01;s__JABDGZ01 sp015233335
GCA_015233355.1,GCA_015233355.1_Deltaproteobacteria_bacterium_nDJH2bin9,Deltaproteobacteria_bacterium_nDJH2bin9,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.49194,109.99472,Scaffold,Illumina HiSeq,79.55,1.7,True,633,4762695,51.72,10360,d__Bacteria;p__Desulfobacterota;c__JADFXK01;o__JADFXK01;f__JADFXK01;g__JADFXK01;s__JADFXK01 sp015233285
GCA_015233365.1,GCA_015233365.1_Nitrospirota_bacterium_nDJH15bin8,Nitrospirota_bacterium_nDJH15bin8,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.485181,110.001483,Scaffold,Illumina HiSeq,72.19,0.46,True,62,2181452,48.65,52271,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__JADFXI01;s__JADFXI01 sp015233365
GCA_015233395.1,GCA_015233395.1_Desulfovibrionaceae_bacterium_nDJH2bin10,Desulfovibrionaceae_bacterium_nDJH2bin10,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.49194,109.99472,Scaffold,Illumina HiSeq,98.9,0.0,True,158,3372092,62.81,36054,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__JADFXV01;s__JADFXV01 sp015233395
GCA_015233405.1,GCA_015233405.1_Candidatus_Omnitrophica_bacterium_nDJH15bin6,Candidatus_Omnitrophota_bacterium_nDJH15bin6,Mars_acidic_analog,bog/peatland (acidic),China: Dajiu Lake,31.485181,110.001483,Scaffold,Illumina HiSeq,85.32,4.44,True,47,2379669,43.25,130162,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__Zapsychraceae;g__JADFXT01;s__JADFXT01 sp015233405
